Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,China,Beverages,Online,C,2023-07-25,148411,2023-07-28,81,179.66,154.54,14552.46,12517.74,2034.72
Middle East,Turkey,Electronics,Offline,C,2023-05-27,189611,2023-05-31,40,93.93,82.88,3757.2,3315.2,442.0
Asia,Japan,Beverages,Offline,H,2023-03-24,588133,2023-03-27,357,132.64,78.19,47352.48,27913.83,19438.65
South America,Brazil,Beverages,Online,L,2023-11-02,141179,2023-11-15,478,46.53,25.32,22241.34,12102.96,10138.38
Middle East,Saudi Arabia,Clothing,Online,L,2023-08-25,109871,2023-09-03,434,74.3,46.26,32246.2,20076.84,12169.36
Europe,United Kingdom,Beverages,Online,L,2023-05-26,843643,2023-06-06,212,124.19,68.46,26328.28,14513.52,11814.76
South America,Argentina,Office Supplies,Offline,L,2023-02-01,254576,2023-02-11,410,35.78,20.39,14669.8,8359.9,6309.9
Middle East,UAE,Clothing,Online,C,2023-11-14,415375,2023-11-16,431,21.58,11.44,9300.98,4930.64,4370.34
Sub-Saharan Africa,Kenya,Beverages,Offline,L,2023-04-18,242374,2023-04-28,123,44.06,27.35,5419.38,3364.05,2055.33
Middle East,UAE,Household,Offline,C,2023-09-29,950368,2023-10-10,485,101.85,86.46,49397.25,41933.1,7464.15
South America,Brazil,Clothing,Online,L,2023-03-16,554659,2023-03-26,275,63.58,41.38,17484.5,11379.5,6105.0
South America,Brazil,Electronics,Offline,C,2023-06-17,107000,2023-07-01,458,173.41,113.45,79421.78,51960.1,27461.68
Europe,Germany,Electronics,Offline,M,2023-10-25,172754,2023-11-08,27,127.31,97.82,3437.37,2641.14,796.23
North America,Mexico,Office Supplies,Online,H,2023-05-10,274799,2023-05-18,382,57.68,35.79,22033.76,13671.78,8361.98
Europe,France,Office Supplies,Offline,H,2023-05-21,329640,2023-05-31,295,27.49,23.95,8109.55,7065.25,1044.3
Europe,France,Office Supplies,Offline,L,2023-09-15,756365,2023-09-28,281,25.92,18.78,7283.52,5277.18,2006.34
North America,United States,Baby Food,Online,M,2023-01-22,208983,2023-02-04,124,103.03,59.32,12775.72,7355.68,5420.04
Europe,Germany,Electronics,Online,C,2023-12-11,354271,2023-12-13,275,82.77,46.35,22761.75,12746.25,10015.5
Europe,Germany,Clothing,Online,M,2023-02-09,301256,2023-02-18,326,65.56,48.12,21372.56,15687.12,5685.44
North America,Canada,Clothing,Offline,H,2023-09-09,698792,2023-09-11,500,133.84,119.99,66920.0,59995.0,6925.0
